Price,Close,High,Low,Open,Volume,DayOfWeek,Pct_Change
Ticker,PKR=X,PKR=X,PKR=X,PKR=X,PKR=X,,
Date,,,,,,,
2010-01-04,83.33699798583984,83.77200317382812,83.33699798583984,83.77200317382812,0.0,Monday,
2010-01-05,84.55000305175781,84.6500015258789,83.68900299072266,83.68900299072266,0.0,Tuesday,1.455542070430793
2010-01-06,84.30000305175781,84.55000305175781,83.572998046875,83.78800201416016,0.0,Wednesday,-0.2956830171217839
2010-01-07,83.61299896240234,83.6719970703125,83.26000213623047,83.26000213623047,0.0,Thursday,-0.8149514406703751
2010-01-08,83.93099975585938,83.93099975585938,83.93099975585938,83.93099975585938,0.0,Friday,0.3803245875680483
2010-01-11,83.72100067138672,83.72100067138672,83.72100067138672,83.72100067138672,0.0,Monday,-0.2502044358860367
2010-01-12,83.63800048828125,83.63800048828125,83.63800048828125,83.63800048828125,0.0,Tuesday,-0.09913902418731135
2010-01-13,83.7040023803711,83.7040023803711,83.7040023803711,83.7040023803711,0.0,Wednesday,0.07891376133399852
2010-01-14,83.43599700927734,83.43599700927734,83.36699676513672,83.36699676513672,0.0,Thursday,-0.320182265449942
2010-01-15,83.11100006103516,83.11100006103516,83.11100006103516,83.11100006103516,0.0,Friday,-0.38951646758179637
2010-01-18,83.26599884033203,83.26599884033203,83.26599884033203,83.26599884033203,0.0,Monday,0.18649610663215022
2010-01-19,83.56300354003906,83.56300354003906,83.56300354003906,83.56300354003906,0.0,Tuesday,0.3566938532456154
2010-01-20,83.49099731445312,83.49099731445312,83.49099731445312,83.49099731445312,0.0,Wednesday,-0.08616998257061637
2010-01-21,83.41400146484375,83.58799743652344,83.41400146484375,83.58799743652344,0.0,Thursday,-0.09222054123917411
2010-01-22,83.39800262451172,83.39800262451172,83.22699737548828,83.22699737548828,0.0,Friday,-0.019180041780841872
2010-01-25,83.61799621582031,83.6709976196289,83.13099670410156,83.13099670410156,0.0,Monday,0.26378760208334295
2010-01-26,83.53500366210938,83.53500366210938,83.53500366210938,83.53500366210938,0.0,Tuesday,-0.09925202404603706
2010-01-27,83.41899871826172,83.41899871826172,83.41899871826172,83.41899871826172,0.0,Wednesday,-0.1388698614497974
2010-01-28,83.53299713134766,83.53299713134766,83.53299713134766,83.53299713134766,0.0,Thursday,0.1366576137780795
2010-01-29,83.74500274658203,83.74500274658203,83.74500274658203,83.74500274658203,0.0,Friday,0.25379864546344333
2010-02-01,84.9000015258789,84.9000015258789,83.88200378417969,83.88200378417969,0.0,Monday,1.379185314247322
2010-02-02,84.75,84.9000015258789,83.68199920654297,83.68199920654297,0.0,Tuesday,-0.17668023932034815
2010-02-03,84.75,84.75,83.61399841308594,83.61399841308594,0.0,Wednesday,0.0
2010-02-04,84.75,84.75,83.76499938964844,83.76499938964844,0.0,Thursday,0.0
